id,gender,birthdate,maiden_name,lname,fname,address,city,state,zip,phone,email,cc_type,cc_number,cc_cvc,cc_expiredate,blood_type,weight_kg,height_cm,allergies,medical_conditions,medications,doctor_name,hospital_name,insurance_provider
661-82-0895,m,1977-04-27,Collins,Miller,Robert,467 Fox Underpass Apt. 898,Lewischester,CO,29969,001-594-592-1185,jerrychen@hotmail.com,v,5004 3910 9621 6576,347,2017/05/15,O+,70.1,151.9,None,Hypertension,Metformin,Dr. Taylor,City Medical Center,None
888-82-5748,f,1944-03-02,Griffith,Juarez,Andrea,097 David Road,Amandashire,MO,65016,+1-387-901-2934x39062,amanda90@hotmail.com,m,5777 2137 3427 3962,842,2015/09/20,B-,106.2,151.3,Peanuts,None,Ibuprofen,Dr. White,City Medical Center,Medicare
672-13-9385,f,1993-03-24,Lee,Pratt,Paul,0861 Brown Brook Apt. 937,New Thomashaven,SD,3465,(226)539-7462x499,jasonwong@gmail.com,m,4759 2254 2063 5293,250,2016/07/03,AB+,119.8,187.0,Peanuts,Heart Disease,Lisinopril,Dr. Cobb,St. Mary's Clinic,None
480-15-6808,m,1992-03-23,Johnson,Vaughn,Daniel,23996 Castillo Trail Apt. 837,Maryton,MT,73856,024-808-5578,jacksonjonathan@lee-tate.com,m,8727 3254 8667 1921,832,2019/01/01,O+,52.1,165.9,Peanuts,Heart Disease,Aspirin,Dr. Nguyen,St. Mary's Clinic,Aetna
033-85-1433,f,1959-08-17,Johnson,Johnson,Jackie,98485 Daniel Mission,Theresafurt,MA,98169,(877)043-3475x762,brian93@hotmail.com,a,9763 5548 7055 1405,492,2023/07/23,B+,112.8,189.8,Dairy,None,Lisinopril,Dr. Williams,St. Mary's Clinic,UnitedHealth
044-23-5409,f,1997-11-24,Gates,Kennedy,Kenneth,609 Jones Crescent,Haysville,DC,92322,880-434-7581x28113,vzamora@caldwell-perkins.com,m,1381 9305 2017 4683,351,2027/08/16,O-,93.6,171.6,None,None,Ibuprofen,Dr. Harvey,St. Mary's Clinic,UnitedHealth
257-87-5443,f,1961-05-29,Solis,James,Nicole,963 Kara Prairie Suite 952,South Christinechester,CT,45309,233.980.1340x1151,lambertrichard@davis-king.info,a,1071 4494 6043 6780,162,2024/01/31,AB+,118.1,172.6,Gluten,Diabetes,None,Dr. Walker,General Hospital,Blue Cross
631-74-8022,m,1963-06-09,Black,Taylor,Cheryl,6946 Jacob Walk,West Whitney,IL,8319,001-268-473-0748,meredithrosales@montgomery-khan.com,a,8963 9876 3521 8183,880,2026/10/16,AB+,82.6,175.6,Gluten,Arthritis,Lisinopril,Dr. Castaneda,City Medical Center,Aetna
754-19-8011,m,1998-04-12,Meadows,Montgomery,John,20417 Mary Circles,North Tylerbury,ID,56365,651-982-5309x25114,xjackson@martin.com,v,8509 9791 3440 4817,173,2015/10/10,O+,109.3,185.7,Dairy,Diabetes,Aspirin,Dr. Marks,St. Mary's Clinic,Medicare
148-55-8145,m,1955-10-16,Alexander,Carpenter,April,8079 Brandon Knolls Apt. 314,Aguilarburgh,RI,29211,863.458.7236,vhernandez@zimmerman.org,a,9230 6253 8950 6001,317,2024/02/05,A-,54.4,163.7,Peanuts,None,Lisinopril,Dr. Strickland,General Hospital,UnitedHealth
356-72-6070,m,1981-06-25,Dixon,Steele,Stacy,288 Matthew Valley Suite 507,New Ginamouth,IL,47780,425-247-7774x449,laura30@yahoo.com,v,6094 1514 3997 4137,236,2018/06/17,B+,73.5,156.1,Gluten,Asthma,None,Dr. Smith,St. Mary's Clinic,None
471-45-9392,f,2002-01-30,Marshall,Collins,Elizabeth,56323 Sanchez Ridges,East Jessicafurt,NE,20100,(907)263-1068x1544,jill45@hotmail.com,v,8796 1173 8766 7734,552,2027/03/20,O+,54.7,177.8,Pollen,None,Lisinopril,Dr. Miller,General Hospital,None
074-31-7747,m,1974-10-02,Watson,Higgins,Megan,27985 Jones Lodge,East Kathyland,MA,87842,(910)851-1976x64967,andrewscharles@marquez.com,v,8147 3863 8413 2373,869,2017/09/18,B+,118.3,166.3,Pollen,Diabetes,Aspirin,Dr. Valdez,City Medical Center,Medicare
